날짜,리뷰,별점,month
2023년 9월 19일,잘 사용하고 있습니다. 카카오페이가 정밀하고 빈틈없이 완벽한 페이로 성장 하시고 고객님께서 무엇을 요구하는지에 대한 끝없는 노력을 해주시면 좋겠습니다. 없는 것도 만들고 있는것은 더욱더 발전되는 혁신 중의 혁신을 꿈꾸며 무궁한 발전이 있기를 바랍니다.,5,2023년
2023년 7월 6일,근래 업데이트때마다 진심으로 묻고 싶네요 주식거래는 하고 있는 사람들이 만들고 최종 컨펌하는거 맞나요? 왜 몇번씩 클릭하도록 다 따로따로 떼어놓은거죠? 다른건 몰라도 정보탭과 보유탭 내용은 묶여있어야죠 주식거래하는 사람이 종목정보나 보자고 종목 클릭해서 들어가는거 아니잖아요 보유주식 각각의 현황확인과 매수매도를 위해 클릭하는건데 종목클릭하면 정보탭이 디폴트라 헌황 확인하려면 보유탭 한번더 클릭하게 되잖아요 5개 탭으로 나눠놓은거 정말 불편하고 무의미하다고 생각합니다 자꾸 뭔가 더할려고 안했으면 좋겠어요 다른 회사 흉내내려고 하지말고 카카오 색을 지켰으면 좋겠네요 바꾸려면 정말 잘 만들어서 내놓던가요 미완성 버전 급하게 올려놓은것 같잖아요,3,2023년
2023년 9월 7일,간편결제의 선두주자 역할에 충실한거 같아요 다른 페이도 광고가 많은 편이니 단점은 비슷하지만... 계속 믿고 쓸수 있도록 보안에 신경 잘 써주기를 바랍니다~~,5,2023년
2023년 9월 14일,금융관련 정보가 집대성 되어 있어 아주 유용한 앱으로 계속적으로 진화 중이네요 ^^ 아주 잘쓰고 있습니다 ~,5,2023년
2023년 5월 27일,최근에 굉장히 자주 은행에 오류가 납니다. 뭔가를 구매하려 하거나 송금하려하면 은행에 오류가 발생했다 하면서 송금이 안되고 본인 재인증 횟수를 넘었다며 한시간 뒤에 시도하라는데 재인증 횟수가 5번인데 다섯번을 누른적이 없습니다. 왜 이런 오류가 발생하는지 굉장히 불편하군요.,1,2023년
2023년 6월 27일,어렵고 입문하기 힘들어 보이는 주식을 쉽게 시작해 볼 수 있어서 좋았습니다! 근데 혹시 주식 가리기 기능 만들어 주시면 안될까요? 몇몇 주식은 당분간 보고싶지 않을 때가 있는데 눈에 보이니 참 아이러니 해서요😂 혹시 가능하다면 해당 기능 꼭 좀 부탁드립니다!! 감사합니다🙂,5,2023년
2023년 7월 17일,"화면스크롤 감도가 이상합니다. 아래로 스크롤 하는데, 왜 자꾸 화면이 옆으로 넘어가는지 모르겠습니다. 그리고 혜택창에서 모든 이미지가 깨져서 출력되고 있습니다. 빠른 패치 해주셨으면 좋겠습니다.",2,2023년
2023년 7월 21일,"이전 앱은 이용하기 불편하고 카톡에서 쓸 때랑 너무 달라서 헛갈렸는데, 이번에 바뀌고ㅜ나니 훨씬 좋아졌네요. 메뉴도 직관적이고, 카톡이랑도 비슷하고. 속도만 조금 더 빨랐으면 완벽할텐데요",5,2023년
2023년 9월 19일,도대체 보조지표 초기화되는건 언제 고칠겁니까??? 매번 귀찮아죽겠네요. 설정하면 초기화되고 매일몇번씩 반복하는데 이래도 되나요??? 대기업맞나싶네,1,2023년
2023년 9월 30일,1x1 결제 위젯은 없나요 요즘은 2×2 사이즈는 안쓰던데 위젯이 자리 많이 차지하고 너무 커서 불편해요,1,2023년
2023년 5월 21일,"생각할수록 이해가 불가능합니다 한달 실적을 채워서 쓰면서 현금 편의점 ATM 출금 할때 카드 무료 가능하지만 인증번호 출금 신청 할때 수수료 받는 의미하는 이유가 무엇인지, 카드 인증 번호 둘다 무료로 하든가 하나는 무료 하나는 유료 그럴때마다 실적을 달성 할이유가 없다고 판단합니다",2,2023년
2023년 10월 10일,"주식차트에 일봉차트 렉좀 없애주세요(걸리는게 있고 안걸리는게 있음,기준은 모름) 몇개월째 그렇습니다. 주봉 월봉은 렉안걸림니다.",1,2023년
2023년 10월 10일,버그로 강제종료 됩니다 개발자에게 문의하라고 뜨고 페이창을 제대로 볼수도 없이 강제종료되니 어떻게 할 방법이 없습니다 빠른 수정부탁드립니다,1,2023년
2023년 7월 4일,좀 전에 카카오페이로 결제해서 SK 브로드밴드 TV에서 예능 프로랑 드라마를 보려고 했는데 결제가 안돼. 결제가 결제가 안돼. 결제 완료 확인 버튼까지 눌렀는데도 결제가 안돼요. 세 번인가 했는데안돼. 이런 게 지금 엄청 잦아요. 카카오페이가 돈 버는 데만 열심히 하지 마시고 이런 오류 같은 거 제대로 좀 제대로 좀 처리하세요. 3611이라계속뜸,1,2023년
2023년 9월 22일,혜택 > 메일모으기 > 카톡 플친 맺기 or Instagram 팔로우 이벤트를 진행 할때 이벤트 참여 페이지에서 버튼이 안 눌립니다. 클릭을 해도 안 넘어가요.,1,2023년
2023년 8월 27일,워치에서 사용하려고 다운받고 계좌텃다가 지웠습니다 네**페이좀 보고 배웠으면 좋겠네요 참..;; 워치 엘티이쓰면서 폰들고 다니지 않으려고 하는건데,1,2023년
2023년 9월 6일,일단 현재까지는 혜자앱인건 맞아요. 스탬프 적립조건이 최소 1천원부터던데 그건 하향 조정을 해주시면 좋겠네여,5,2023년
2023년 8월 26일,여러 이벤트가 쏠쏠하고 재밌어요. 알면 알 수록 혜자가 많아 매력이 있네요. 부자되시고 주가도 오르세요.,5,2023년
2023년 9월 7일,필요한 모든것들이 간단하고 쉬워서 아주 유용하게 사용하고있어요 다른분들께 강추삽니다,5,2023년
2023년 8월 16일,업데이트 후 부터 분명히 구독 취소한 상품을 지멋대로 결제하는 오류가 발생했습니다. 빠르게 조치해 주십시오.,3,2023년
2023년 10월 3일,많이 좋아졌는데 디자인은 그만 바꾸고 미국주식하려면 미국주식하는 사람들은 알겠지만 50일이평선 추가가 중요합니다. 50일 이평선 추가해주면 더 좋을것 같습니다,3,2023년
2023년 7월 21일,주식 초보자들이 사용하기 쉬운 앱이에요! 주주 토론방 아이디어도 몇 층 주주인지 보이는 게 꽤 재밌는 요소인 것 같아요. 페이로운 소식에 가면 재태크 정보들도 쉽게 구할 수 있어서 매일 열어서 보는 편입니다😀,5,2023년
2023년 7월 6일,페이증권에서 미국 본장만 열리면 연결상태가 좋지 않다며 정보를 볼 수가 없네요 + 업데이트 이후에는 증권으로 들어가면 로딩만 계속 되고 아무것도 못하네요.. ㅎㅎ 미국 증시 못봅니다 로딩 하루종일 걸려서 그냥 카카오 증권하실분들은 다른 증권사 알아보세요,1,2023년
2023년 9월 5일,네이버페이처럼 남은금액도 쓰고 신용카드도 동시에 사용할수있는 결제시스템이 마련되었으면 좋겠습니다.,4,2023년
2023년 8월 6일,춘식이 스탬프 적립하려고 들어가도 접속이안됨ㅎㅎ 어이가없음. 그냥 주기싫으면 없애버리지 어차피 접속도 안되는 혜택은 왜만들어놓는지 이해가안갑니다,1,2023년
2023년 7월 31일,"카톡 두개의 계정을 사용하며 선물하기를 이용하느라 카카오페이도 두계정 모두 이용 중이었으나, 최근 1인1계정 정책이 생기며 주계정(선물하기 카카오택시등)이 정지가 됐습니다. 세컨계정은 거의 이용하지도 않았는데 남게됐구요.. 탈퇴처리를 했음에도 메인계정은 1인1계정 정책으로 가입이 안된다며 팝업이 뜹니다. 택시도 선물하기도 이용할수가 없습니다...",1,2023년
2023년 6월 13일,"카드해지로 신용정보가 변경 되었다는 메시지가 왔는데, 보려고 하니 신용정보 동의 하라뇨? 동의 없이 정보는 계속 보고 있었다는거네요? 왜그래요? 토스에 동의되 있어서 확인은 했어요. 왜 거기서 정보 동의없이 알려주려고 했냐는거죠",1,2023년
2023년 9월 26일,카카오페이를 간편하고 편리하게 사용할수 있어서 매우 만족하고 추천합니다~!,5,2023년
2023년 5월 16일,업뎃 되면서 갑자기 글자크기가 커져서 불편한데.. 조절기능없나요? 작게 설정이 되면 좋을텐데요.,5,2023년
2023년 8월 23일,요즘 자꾸 오류가 납니다 특히 푸시 알림으로 글을 볼 때 스크롤이 아예 안 먹혀서 다 읽고 싶어도 읽을 수 없습니다,4,2023년
2023년 7월 31일,"카카오페이 앱으로 자산관리를 이용하고 있는데~ 요건 정말 편한 것 같아요! 하지만, 아직 전세보증금,가상화폐는 아직 적용이 안되어있어서 조금 아쉽지만, 그 외적인 자산들은 한눈에 보이니 편하네요!",4,2023년
2022년 9월 8일,"1. 수수료 차감 후 매매손익정보를 보는 기능이 있었으면 좋겠네요. 특히 미국증시는 필수입니다. 2. 미국 증시의 경우, 실시간 시세가 업데이트가 잘 안되네요. 과거 버전에서는 잘 되었는데, 최신 버전에서는 90% 가 멍때리고 있어요. 다행히 투자한 회사는 업데이트가 되는데, 이것도 최근 업데이트 후 되었어요. 아주 과거 버전은 다 잘되었습니다.",1,2022년
2023년 7월 22일,왠만하면 귀찮아서 리뷰안남기고 안쓰고 말지하는 사람인데 이걸 안쓸수도없고 어쩔수없이 리뷰 남김ㅡㅡ 업데이트되고나서부터 렉 버퍼링 너무 심한거아닌갸?? 하루 이틀이라도 열받을 마당에 이게 지금 계속 지속되고있는건 확실하게 문제있음 개선해야됨 결제할때마다 카카오페이쓰는데 로딩하는데 기본 버퍼링 5초이상 잡아먹고 등록해둔 카드로 결제하려고 옆으로 슬라이드하면 포인트창으로 넘어가는게 한두번이 아님ㅡㅡ 주식도 마찬가지 겁나 불필요하게 번잡하게 돼있어서 실시간으로 확인하기 불편함 혜택에서 포인트모으기도 이용하는데 진짜 렉 버퍼링!!!!!!!! 제발 일좀 제대로 합시다!!!!!!!!!!!,1,2023년
2023년 6월 27일,종목조회가 안되는게 많은것같아요(크리스탈신소재. 컬러레이 등) 글구 버벅대서 빨리 주문이안되서 손해본적도 너무많네요 시간외상승 리스트도 바로 볼 수있으면 좋겠어요,4,2023년
2023년 10월 7일,열리지가 안아요 버그로인해 문구가 나오는데 캡쳐 를 해놨는데 사진을 올릴수가 없네요...,1,2023년
2023년 9월 12일,주식할때 버퍼링때문에 손해 엄청봣구요 제발 빨리팔수있게 간편판매 알림 안뜨게 할수있게 해주세요,1,2023년
2023년 10월 6일,요즘들어서 전체적으로 오류가 너무 심하고 잘안되요 계속해서 안되요..뭐때문인지 몰라도 왜이리 안되나요?! 계속 다 안되요..,2,2023년
2023년 9월 15일,다양한 카테고리로 재미와 정보를 주네요.디지털노마드로서 IT금광채굴하는 재미가 쏠쏠해요,5,2023년
2023년 9월 13일,오목조목 한가지 앱에서 다 즐기고 관리할 수 있어서 좋네요,5,2023년
2019년 6월 20일,카카오톡 내의 청구서 기능과 페이 어플과 연동이 1도 안됨. 한 쪽에서 납부하기 기능을 이용하면 다른 한쪽은 납부할 기간이 지났다는 경고가 계속 뜨고 그렇다고 납부하기 버튼을 누르면 점검중이라는 메세지 밖에 안뜨고 해결되는게 1도 없음. 이따구로밖에 관리를 못 할거면 왜 어플을 만들어서 기능 분리했는지 모르겠음.,1,2019년
2023년 10월 22일,만보기 끌 수 있게 해주세요. 만보기 앱들이 넘쳐나는데 굳이 카페 만보까지 있을 필요가 있을까요? 배터리 소모도 많아지는 것 같아요. 부탁드립니다.,4,2023년
2022년 3월 28일,"이런 저런 정보를 보는 차원에서는 좋습니다만, 거래용으로는 좀... 특히 몇 초 차이로 거래 안되거나 주문 정정등이 안되서 손해를 많이 봤는데... 진짜 생체 인식은 에러임. 빠른 매매를 위해 전용단말기 선정 등으로 주문속도를 높이는 것이 필요할 것 같습니다. 커스터마이징이 되어서 예약매매, 미체결매매정정 등에 대한 직관적 세팅이 가능하면 좋겠습니다. HTS만큼은 아니지만 카카오의 강점인 직관성을 이용하면 기존 엑셀+차트만 보는 매매패턴에서 진일보 할 수 있을 듯.",3,2022년
2023년 7월 27일,이전에도 잘 쓰고는 있었지만 뭔가 더 똑똑해지고 깔끔하니 보기에도 좋습니다. 사용하기에도 편하고 혜택도 잘 활용하고 있습니다~,5,2023년
2022년 1월 31일,미성년자인 나한테 있어서는 소중한 앱. 근데 UI가 너무 불편함.. 옛날에는 화면 한개에 다 있던게 이제는 3개로 나눠져있는데다가 송금 받을때는 또 버튼 눌러야해서 옛날에 비해 불편하고 느림 거기다가 맨 왼쪽 화면 들어가면 뭘 자꾸 시켜서 빡침. 선택지에 미성년자라서 못한다는 선택지는 없음? 이럴거면 걍 업데이트 하지 말지....,1,2022년
2023년 9월 4일,여러가지 다양한 기능과 현금처럼 사용할수 있는 포인트 쌓기가 있어 좋아요,5,2023년
2021년 2월 21일,잘쓰고 있었는데 위젯이 갑자기 짤려서 나오네요... +)디자인에 문제가 아니라 바코드가 3분에 1쯤이나 짤려서 바탕화면에 나옵니다 노트10이구요 아마 업그레이드 시 문제 같은데 수정해주셔야 할것 같습니다 저말고도 올려주시는 분들이 있는것 같은데 어떤 상황인지 잘 모르시는 것 같아 다시 올립니다 위젯을 눌러 앱을 켜면되긴 하지만 그러면 위젯을 쓰는 의미가 없어서.. ㅜ,2,2021년
2023년 6월 22일,주식쪽 UI가 점점 사용해지기 불편해지네요? 그냥 기존이 5배는 나았던거 같은데요 복잡하고 눈에도 잘 안들어옵니다,1,2023년
2023년 7월 25일,이번에 홈개편되고 UI 너무 맘에들고 사용하기도 정말 편한것 같아요~~ 무료로 이런 좋은 서비스를 이용할 수 있다는건 큰 복인것 같아요! 감사합니다!,5,2023년
2022년 1월 29일,결제용 앱... 그냥 간단하게 결제할 때만 사용해야되는 앱. 카카오페이 앱이지만 일부 기능은 카카오톡으로 가야 이용 가능. 심지어 메뉴조차 없어 이용 불가능한 기능도 존재... 메인에 즐겨찾기 기능 이외에 전체 기능을 찾기 힘든 디자인이라고 생각함. 그냥 카카오톡에 있는 페이 정도가 제일 적당하다고 생각함.,3,2022년
2022년 8월 13일,"증권계좌 개설 이후 타 증권사가 더 편해서 해지하려고 했습니다. 그런데 해지 버튼도 숨겨놓아서 찾기 힘들게 해놓았을 뿐더러, 해지도 어렵게 해 놓았습니다. 해지 신청->계좌 외화를 먼저 출금해달라며 안 됨->소액 달러가 예수금에 떠서 환전 신청->최소금액 1달러라며 환전 안 됨-> 원화 1만원 입금해서 달러로 환전 후 전액 환전 신청->여전히 소액 달러는 계좌에 남아 있어 계좌해지 불가능 이 과정을 3번이나 반복했습니다. 예수금으로 뜨는 달러를 환전할 수도 없고 출금할수도 없다니.. 계좌해지를 못하게 하려고 의도적으로 그런 것이라 생각됩니다. 증권은 절대 하지 마십시오. 혈압이 오를 겁니다.",1,2022년
2020년 9월 20일,"아니 폰만 다르지 계정자가 같은데. 한번 로그인하고.. 송금확인하면 또 인증또인증 뭐하는거죠? 인증해서 접속을 했는데 왜 인증 되면 뭐라도 안켔는데. 이미 가입되어 있습니다. 고객센터 확인.. 어디가서 뭘 확인하고.. 카톡하고 바로 연계되고, 접속되게 해야지 .. 이건문 풀펴해서. 쓰겠나.. 친구가 좋타도해서 쓸라했더만.. 선물받은 돈도 못찾고.. 뭐 개수작인지. 별점도 아깝네..",1,2020년
2022년 5월 7일,주식계좌 개설을 위해서 신분증 사진을 찍는데 도대체가 제대로 인식이 안되네요. 촬영된 정보도 제대로 나오고 있고 혹시나 하서 직접 입력해도 신분증 발급 날짜가 틀렸다고 다음 단계로 넘어가지 않습니다. 분명 동일한 값을 보고 입력한건데 뭘 보고 틀렸다고 하는지 모르겠네요. 별점 1개도 아깝습니다,1,2022년
2022년 9월 21일,"만보기가 아무것도 건드리지않았는데 수시로 꺼져 있어서 카운트가 안됩니다. 나중에 상단바에서 사라진거 깨닫고 들어가 보면 꺼진 동안은 카운트가 안되어있어요. 진짜 정말 너무 짜증나요. 친구랑 대결하기를 만들어놓고 지멋대로 꺼져서 카운트가 안되고 있었으면 대결이 무슨 의미가 있죠? 그래서 그런지 카운트도 삼성 헬스, 토스 중에서 최소 1000보 이상 제일 낮습니다. 토스는 어플 잘 쓰지도 않는데 상단바에 해놓은 뒤로 단 한번도 꺼진적이 없는데 하루에도 몇번씩 들어가는 카카오페이는 수시로 꺼져서 걸음수를 날리니 비교되네요.",1,2022년
2020년 4월 17일,앱을 만들면 보통 개발자들이 사전 테스트를 하지 않나요? 이 앱이 테스트에서 통과가 됐다면 개발자들과 컨펌한 관리자들 모두 잘못된거 아닌가요? 계정 로그인을 하려고 할 때마다 오류는 반복이고 화면 멈춤도 반복이고 앱 휴대폰 소프트웨어 버전 모두 최신버전인데 고객센터 문의하니 해당부서 확인해야 한다고 며칠이 걸리고 증권계좌 개설을 하려고 할때도 신분증 촬영도 똑바로 안되고 문의를 해도 또 며칠걸리고 고객이 우선이 아닌 만든 개발자들 스케줄이 우선인 앱 같아요 충전지연 바코드 결제오류 무수히 많은 오류들이 반복되는데 시정되는건 없고 패턴이 늘상 같네요 ios 버전에 따라 업그레이드 된다고 설명은 하고 있는것 같은데 오류도 같이 업그레이드 되는건가요? 뭐 하나 시정되는것도 없고 늘 잠시뒤 시도 30분 뒤 다시시도 해결책은 없고 유저가 불편을 겪고 기다려야 하나요? 다신 안씁니다 서비스 늘리기 이전에 앱의 기본부터 되돌아보세요 기초공사가 부실공사인데 말만 거창한 것 같네요,1,2020년
2022년 3월 20일,언제 어디서든 쉽고 편하게 결제를 할수있어서 좋고 카드를 연결해서 사용할 수 있는점도 너무 좋다고 생각해요. 하지만 삼성페이처럼 홈화면이나 꺼진화면에서 하단바를 끌어올려서 카드결제를 하는 방법이 없어서 너무 아쉬워요ㅜㅜ 앱으로들어가서 결제를해야하는게 조금 시간이 걸리는게 제가 생각하는 단점이에요. 이러한 기능도 추가해주세요~,5,2022년
2021년 10월 30일,국내에서 사용 가능한 모든 금융 관련 어플중에서 비밀번호 등록이 가장 어려운 어플. 보통 사용자들은 자기가 쓰기 편하고 손에 익은 비번을 사용하려 하는데 얘네는 일단 무조건 사용 불가능한 비번이라고 못 박고 시작함. 사용자가 원하는 비번이 아닌 카카오 본인들이 원하는 비번을 요구하는 어플임. 그거 빼고는 사용이 편하긴함.,3,2021년
2021년 1월 26일,"솔직히 다른 리워드같은 경우는 굉장히 이벤트도 많이하고 편리해서 좋은 평을 주고 싶었습니다 하지만 혹시라도 미니금고라는 서비스를 이용하실거라면 비추입니다. 솔직히 이윤은 0.6%로 그냥 차라리 적금들거나 주식하는게 훨씬 이득이었으나 매주하는 주사위가 재밌어서 시작해봤습니다. 첫 주사위에 7이 나오길래 오 좀 괜찮은데?하면서 시작했는데 이후 3,1,1,1,1,1,1....진짜 사기도 적당히 쳐야지.... 그냥 이윤보다 소소한 재미로 시작했지만 진짜 쓸모없고 오히려 기분만 더 더러워짐.... 이번주로 다시 돈 빼고 예금하려고합니다. 쓸모없는 기능을 너무 정성껏 만들어내주셔서 감사합니다",1,2021년
2023년 3월 18일,오래간만에 다시 사용할까 싶어서 깔아봤는데 아직도 페이머니가 우선 되도록 고정시키는건 똑같네요. 진짜 카카오페이는 참 괘씸한 방향으로는 우직합니다ㅋㅋㅋ 페이의 사용성을 늘리고 싶으면 편의성이나 혜택을 개선시키면 될 일이지 페이머니를 무조건 우선 순위로 고정시키는 방식이라니,1,2023년
2023년 6월 19일,최근에 바뀐 UI 개불편함 예전에는 내가 원하는 것들 메인에서 다 한눈에 볼 수 있었는데 지금은 막 움직여야되고 항목들이 직관적이지 않음,1,2023년
2023년 8월 10일,"최근에 출장으로 한동안 못 썻지만, 분명 한달전만해도 갤럭시워치5 프로 LTE 단독으로 메가커피서든 편의점에서든 워치에서 단독으로 카카오페이를 이용 했었는데요. 왜 지금은 안되죠? 관련글 검색해도 잘 안나오던데, 유튜브 보니 예전 영상에 워치 단독으로 카카오페이 쓰시는분 영상도 분명 있는데요. 이게 제가 꿈꾸는건가요?ㅋ 1)원래 핸드폰 주변에 없이 단독으로는 사용이 불가했나요? 2) 아님 이번업데이트로 단독 사용을 막은건가요? 3) 아님 단독사용이 되는건데 제께 이상한건가요? 워치 단독 사용 안되면 네이버페이 쓰지 카카오페이 쓸 이유가 없네요. 참고로 제폰은 갤럭시 노트20입니다",1,2023년
2023년 9월 12일,대중적인만큼 편의성도 점점업그레이드 경쟁체제에서 선두가되길,4,2023년
2022년 11월 4일,카카오톡으로 오는 카카오페이 공모주 알림톡의 정보가 정확했던 예전과 달리 간간히 부정확합니다 공모주 청약이나 상장일 알림이 떠서 세부사항 일정에 들어가봐도 해당사항이 없는 경우가 있습니다 청약이 시작되어도 공모예정가 (최저가~ 최고가) 가 떠 있거나 경쟁률이 4시 마감 때까지 대기중으로 계속 떠 있거나 하는 중대한 오류를 한 두번 본 게 아닙니다 처음에는 실수겠지 했는데 너무 잦아져서 여기에 컴플레인까지 올립니다 이게 시스템 오류가 나서 먹통이 된다던가 하는 것도 아니고 정보값 넣는 부서에서 계속 실수를 하고 있다는 건데 이런 케이스를 어디에서 본 적도 없어서 황당하네요 정상화 부탁합니다,1,2022년
2021년 5월 18일,결제할 때 카드를 선택해놓고 시간이 지나서 폰 화면이 꺼졌을 때 다시 화면을 켜면 카드가 아니라 카카오페이머니로 바뀌어버리네요. 바뀐 줄 모르고 그대로 결제를 해버릴 경우엔 현금 충전까지 돼버리는데 너무 짜증납니다. 카드로 결제하려다가 괜히 쓸데없는 불편을 겪게 돼서 앞으로 이 앱에서 결제는 안 써야겠습니다.,2,2021년
2023년 9월 24일,물건구입후안전하고빠른결제편해요~그래서좋아하고있어요,5,2023년
2023년 7월 21일,개편 이후로 이용하기가 더 편리해졌어요. 혜택보기도 편하고 포인트도 잘 받고 있습니다.,5,2023년
2022년 9월 19일,"주식 주문방법 이전 버전 사항 다시 살려주세요. 랩탑으로 액셀키고 매매해야할 판이네요..이럴거면 이 증권사 어플 쓸 이유가 없습니다. 1. 주문가가 매매시 종가 대비 몇퍼인지 주문금액 밑에 떴었는데 없어짐. 2. 주문 수량입력시 총 주문금액 얼마인지 자동계산- 바뀐버전에서 최총 주문으로 넘어가야 나옴. 도대체 몇번 눌러야 하는건지.. 3. 이전 버전에 있던 주문수량 비율 정하는 바 형태가 직관적이었으나 없어짐. 아니면 현재 가진 예수금 몇퍼센트를 구매할건지도 만들어 넣으면 좋을것같음. 4. 구매하기 창, 구매하기-> 주문수량 넘어가는창 딜레이가 있음.",1,2022년
2023년 7월 27일,앱이 아주 깔끔하고 보기 편하게 되어있네요! 업데이트 되는 사항들도 바로 캐치 할수 있어서 좋은거 같습니다. 앞으로도 더 좋은 서비스 기대하겠습니다!,5,2023년
2023년 7월 5일,제발 주식 창 다시 돌려줬으면.... 너무 어려워짐... 미국 주식은 아예 모하겠고 지금 돈으로 살수있는 갯수 구매 버튼이 없어짐... (주식 계좌에 얼마 남았는지 모르는데) 돈이 달러로 돼있으니 구매할때 넘 헷깔리고....,1,2023년
2019년 12월 27일,내게 필요하지 않은 광고가 지나치게 많이 옵니다 알림을 어디서 제거해야하는지 못찾겠습니다 카카오페이를 사용하려고 하면 이 불필요한 투자광고들을 시도때도 없이 톡으로 받아야 하는 건지요? 광고가오지 않는 다른 페이로 갈아타고 싶습니다 편리하게사용하려고 페이를 사용하는 건데 왜 이런 쓸데 없는 광고 때문에 스트레스를 받아야하는 건지요?,2,2019년
2023년 8월 3일,요즘 왜이리 느려터지고 끊기고 그러나요.. 접속하기가 너무힘듬... 접속이 되도 포인트모으기 누르면 세월아네월아 로딩만함 ㅡㅡ,3,2023년
2023년 8월 1일,"최고로 불안한 어플. 걸음수 표시되는건 좋은데 송금, 결제 버튼은 좀 숨겨놨으면 좋겠음",3,2023년
2023년 8월 2일,워치5 단독으로 안되네요.. 폰과 페어링이 되야 한다고 워치만 들고 다니는데.. 아직은 네이버페이가 훨씬 좋네요 단독으로 되고,1,2023년
