날짜,리뷰,별점,month
2023년 10월 15일,삼성페이 카드 리스트에 닉네임을 표시하면 좋겠어요. 선택된 화면에는 메모(금액 할인등 사용자 입력)가 표시되면 정말 최고 일것 같아요(그냥 카드위에 오버렙),5,2023년
2023년 10월 17일,"최악의 서비스입니다. 고객센터 기능이 거의 없다고 보시면 되고, 돈 환불받는게 넘 어렵습니다. 다시는 사용안해야하는 서비스인듯 합니다.",1,2023년
2023년 8월 19일,네이버 삼성페이 인식률 개선좀 되게 해주세요. 삼성페이처럼 빠르게 한방에 착.되질 않고 이리저리 갖다대고 삐질삐질..결제할때 땀나요.. 포인트 몇원에 자존심 상해요 ㅜㅜ,2,2023년
2023년 7월 5일,"NPay증권 ->투자정보 를볼때 중간 메뉴(뉴스,리서치,실식간 속보등등) 가 표시되었다 안되었다 하면서 보기가 너무 불편합니다 기사를 클릭해서 들어가도 똑같이 메뉴가 보였다 안보였다하면서 기사를 읽고 있는 부분이 이동하면서 불편합니다 갤락시 21 울트라 사용중입니다",4,2023년
2023년 9월 10일,플립5 커버화면에서 측면버튼 두번 눌러서 바로 실행하면 화면을 열라고 뜨네요. 이전에 열지않고 바로 사용 가능했는데...,3,2023년
2023년 9월 14일,업뎃 이후로 플립5 외부액정에서 실행이 안되고있어요..그전엔 외부에서 qr이 나왔는데 ..이젠 카드만 뜨고 ..바로 qr을 할수가없어서 폰을 열어야해요 너무 불편합니다.,1,2023년
2023년 9월 27일,삼성페이교통카드랑 충돌하는 현상 좀 고쳐주시죠 그리고 네이버삼성페이결제NFC는 왜 지원 안하나요? 요즘엔 NFC 전용 단말기도 많은데 그때마다 삼성페이앱 다시켜서 결제하고 하.. 뭐 이것도 교통카드 충돌나는거랑 상관이 있겠죠? 기술력이 딸리는건지 참,1,2023년
2023년 9월 7일,앱 아이콘이 바뀌는 최신 업데이트 이후 네이버 페이 결제가 안됩니다. 카드결제는 qr이랑 터치 둘다 잘되는데 페이qr만 작동을 안합니다 기종은 a24고 삭제 재설치 같은 당연한 조치는 다 해봤습니다,1,2023년
2023년 9월 3일,사용자 리뷰 사진올리기에서 동일사진 등록안됨. 무한로딩임. 요즘 네이버 개발자들 왜이러냐? 일류기업 이미지 다 없애기로 단합이라도한건가 동일제품 리뷰를 하나로 통합시키던가 아니면 이것도 신인류MZ 특성인가? 오류 못잡고 고객에게 개선점 찾으라는건가?,2,2023년
2023년 10월 11일,0.5점없나요? 앱의 효율성이 떨어지는데요? 사용하려고 키면 버퍼링이 무제한 재생인데 어캐쓰라는 건가요... 삼성페이 키니까 빠른데 네이버페이 언데 기다리고있나요....,1,2023년
2023년 10월 11일,왤케 기능을 쪼개서 각 어플로 만들고 어플 안깔면 못하도록 막아요...? 현대인이 누가 이것저것 다깔아서해요 통합 좋아하지.... 시대 역행함???,1,2023년
2023년 10월 12일,좋은 앱입니다만 조금 느리고 결제할때 카드 메모가 안보여서 불편합니다. 메모 기능은 왜 있나 싶을 정도..,4,2023년
2023년 10월 23일,역시 네이버 일은 잘해요 직관적으로 만들고 사용 편하고 근데 카드 순서 바꾸는 기능 좀 추가해주세요 페이 쓸때마다 카드 지정해서 쓰는게 불편합니다,5,2023년
2023년 10월 24일,인터페이스가 드럽게 불편합니다 필요한 기능들을 한눈에 파악하기 힘들어요,1,2023년
2023년 10월 13일,지출에 한해서는 거의 완벽에 가깝게 편리합니다 수입도 지출처럼 내역을 정리해주시면 정말 완벽한 재무도우미기 될거 같습니다 수입도 내역을 공개 부탁드립니다,4,2023년
2023년 10월 10일,그냥 삼성페이랑 같은 시스템이 아닌지 3번 중 1번은 안읽힘. 그냥 삼성페이 쓰면 바로 결제되는데. 무슨 이유인지는 모르겠지만 쓸때마다 될지안될지 간봐야함,1,2023년
2023년 6월 22일,"정말.. 한국 네임드 기업의 어플이라는 사실이 믿기지 않을정도로, 네이버페이는 UI/UX인터페이스가 개판임;;;;;;; 메뉴가 많아도 분명히 사람들이 자주사용하는 항목들이 있을텐데, 찾는데 엄청 스트레스 받음.. 제발 내 포인트체크/충전, 현장결제, 쇼핑찜한상품, 장바구니같은 메뉴들은 찾기쉽게 ui좀 구성해달라고요!!!!! 그리고 잘 쓰지도 않는 금융상품관련 메뉴는 차라리 하단으로 내려서 내가 필요한것만 커스터마이징 할 수 있게 해주세요",1,2023년
2023년 8월 6일,페이 실행 후 결제를 하지 않고 덮개를 덮었다가 다시 화면을 열면 아무런 동작을 하지 않네요 생체인식을 강제로 시켜줘야 홈버튼이 먹혀서 기본화면으로 돌아가는 버그가 있네요,3,2023년
2023년 10월 26일,페이삼성페이랑 연동되서 좋은데 가끔 갑자기 사용만료됫다고 뜨면서 안되고 다시 삭제하고 다시등록해야되요ㅡㅡ불편해요 오류수정빨리 고쳐주세요,1,2023년
2023년 10월 15일,업데이트이후 페이를 쓰기 힘듬 2분간 진동울리며는 화면이 멈춰있음 해결안되면 네이버 해지해야겠음 페이쓰려면 인내가 필요하고 뒤에서 사람 기대려서 눈치보이고 짜증남,1,2023년
2023년 10월 3일,업데이트 이후로 오류가너무많아졌어요 선택하지 않은카드가 결제된걸로 해서 자꾸 잔액부족뜨고 좀 다시 손 많이봐야할듯요,1,2023년
2023년 9월 29일,최근 몇 일전부테 데이타 업데이트가 엉망이네요. 매우매우 불편합니다,1,2023년
2023년 9월 11일,8월 부터 라인페이가 일본에서 결제되지 않는데 유니온페이 가맹점에서는 언제부터 사용가능한가요 Npay 에서 터치하고 국가를 선택하는것이 지금 작동하지 않고 있습니다.,4,2023년
2023년 9월 6일,이번 업데이트후에 플립5 커버화면엔 결제가능 시간이 안보입니다. 또 아이콘이 타 아이콘에 비해 엄청 작네요..헐,3,2023년
2023년 9월 9일,잘쓰고 있었는데 오늘 오류 발생하네요. 아예 로그인이 안 되고 있습니다. 모바일 티머니앱과 충돌하는 것 같기도 하고...? 지문 로그인 중인데 자꾸 반복해서 새로고침되어서 로그인 자체가 안 되네요..,3,2023년
2023년 9월 21일,핸드폰으로는 잘 쓰고 있으나...갤럭시 워치6에서는 앱이 업데이트 된 후 호환되지 않는 것 같네요,2,2023년
2023년 9월 15일,안드로이드 기반 폴더폰 사용 중인데 외부 화면애 결제 큐알코드가 점 처럼 나와요... 안그랬는데 갑자기...왜 업데이트 되고 나서 이상해짐,4,2023년
2023년 9월 4일,삼성페이 현장결제 하려고 할때마다 3초정도 있다가 자꾸 자동 다운돼요. 몇달째 개선이 안됨. 미치겠어요. 이게 우리나라 최고 대기업이 만든 앱인가..,1,2023년
2023년 9월 24일,PC에서 네이버머니 충전은 잘 되면서 왜 인출은 보안 핑계대면서 어플을 깔게하는지 잘 이해가 안되네요. 어플 깔게하고 싶은 티가 너무 납니다.,1,2023년
2023년 9월 20일,워치4에서 워치6으로 바꿨는데 워치에서 네이버페이앱이 검색이 안되는데요 이건어떻게해야되는건가요 지웠다 다시깔았다 해도 안됩니다,1,2023년
2023년 8월 27일,인증도 인증번호가 안된대서 3번이나 했는데 안돼고 겨우 했더니 유효기간 다시 입력하세요~ ㅋㅋㅋㅋㅋ 진짜 불편하게 만들었네요 진짜 안쓸렵니다,1,2023년
2023년 8월 15일,인식율이 왜이래요 네이버페이로 삼성페이쓰는데 자꾸 카드를 한장만 인식하라고 하질않나 자꾸 안돼서 몇번이나 하게만드네요... 진짜 삼성페이는 갖다대면 바로 인식인데... 인식율이 너무 구려서 뒤에 계산 기다리는 사람한테 미안해서 못 쓸지경임,1,2023년
2023년 9월 13일,앱 아이콘이 너무 촌스럽고 구려서 배경화면에 놓고 쓰기가 싫어짐. 요즘 대체 누가 저렇게 디자인을 하지? 그림판으로 5분만에 날림으로 만든수준,2,2023년
2023년 8월 31일,"네이버 삼성페이 위젯을 카드별로 하나씩 등록해서 사용했는데, 언젠가부터 카드별 구분없이 마지막 사용한 카드로 결제가 진행됩니다. 확인 부탁 드립니다.",4,2023년
2023년 8월 13일,페이 사용하려는데 이상거래가 감지됐다고 팝업창이 뜨는데 왜안되는건지 모르겠습니다 처음 한번만 사용해보고 계속 안되네요ㅜㅜ,1,2023년
2023년 9월 11일,문제많다 문제많아ㅡㅡ 삼성페이연동해서 결제되는곳이 있구 없는것이 있는데 포인트때매 여러번 시도하지만 뒷사람한테 개 미안하게만드네..네이버 앱개발 진짜 문제많아,1,2023년
2023년 9월 15일,플립5 커버화면에서 결제가 안됩니다. 빨리 고쳐주세요. 편리하던것이 더 불편해졌습니다.,3,2023년
2023년 9월 11일,"몇일전부터 현장 qr코드가 인식이 안돼요.cu,파리바게트등...머가 문제인가여 사용을 못하구있어여!!!!!!!!!!",1,2023년
2023년 8월 28일,편하고 너무좋습니다 근데 네이버페이에서 돈이 나갈때마다 자동으로 10000원씩 충전이 됩니다 그걸 끄는방법이 있나요?,4,2023년
2023년 9월 8일,"9월 7일날짜로 유니온페이 해외결제버전 나왔다고 해서 설치해보려 했지만, 8월 10일 라인페이 제휴종료버전만 설치됨. 아이콘만 바뀐 가짜업데이트버전임.",1,2023년
2023년 8월 18일,여러글들처럼 폰없이LTE 데이터로 결제하려하몀 앱 실행이 안되거나 다시 본인인증... 너무 멀었어요,1,2023년
2023년 9월 21일,갤럭시 워치6에서 아예 네이버페이 어플 검색이 안되는데 왜 그럴까요? 다른 분들은 워치에 잘만 어플 설치해서 쓰시던데.. 제 워치에서는 검색이 안되네요,1,2023년
2023년 9월 17일,쓸데가 있어서 카드 등록하려고 했는데 깜빡이기만하고 카드 인식도 제대로 못하는게 시간 버린것 같아서 기분 나쁘네요,1,2023년
2023년 8월 20일,네이버페이 내 삼성페이 결재인식 안됨..그냥 삼성페이는 잘됨..오죽하면 결재하시는분이 혹시 네이버페이 삼성페이냐고 물어보고 안된다고 함!!! 이게 뭐임? 편하게 쓰려고 삼성페이 쓰는건데 빨리 수정 요망!!!,2,2023년
2023년 8월 25일,안녕하세요. 네이버페이 앱을 매우 잘쓰고 있는데 네이버페이 x 삼성페이 위젯 사용시 아이콘이 너무 큰 거 같습니다...,5,2023년
2023년 9월 11일,삼성페이 사용할 때 위젯을 사용하니 너무 편하네요 혜택도 잘받고 있습니다 :),5,2023년
2023년 9월 9일,잘쓰고있었는더 어제부터 결제가 안되요ㅜ 현장결제 QR이 자꾸 편의점 빵집 다 안먹혀서 cu포인트도 못쌓고 삼성페이로만 결제하고있어요ㅜ 뭐가 문제인건가요,1,2023년
2023년 9월 22일,휴대폰으로 잘 사용하고 있어요 그런데 왜 제 갤럭시워치6에서는 플레이스토어에 네이버페이가 없나요? 친구들은 다 깔았다고 하는데.,3,2023년
2023년 9월 11일,"해당 앱을 통해 하나은행 계좌를 개설하려 하는데, 신분층 촬영시 카메라 앱이 실행이 안되내요. 권한도 전부 재대로 승인 했는데말이죠.",1,2023년
2023년 9월 29일,일본에서 결제할려고 앱 켜면 데이터를 불러오지 못했다면서 오류뜸 이럴거면 왜 만들었습니까?,1,2023년
2023년 7월 7일,아니 편의점에서 결재할라고 바코드 찾으니까 없어가지고 캐당황했네....그래도 깔아가지고 써볼랬더만 인증문자는 뭐 국끓여먹었나 왜 오질않아? 3번이나 시도하다 딴걸로 결재했다 기존에 네이버 앱하나만 있으면 되서 엄청 편하게 쓰고 있었는데 뭘또 깔라는거야 개불편해서 안쓴다 바코드 하나만 앱에서 띄워서쓰면 되서쓰는게 이유였는데 그걸 없애네,1,2023년
2023년 5월 25일,"위젯 사용 시에 투명도 조절이 가능했으면 좋겠어요. 다른 위젯은 다 투명인데, 이것만 불투명해서 매우 '불편'합니다!",4,2023년
2023년 7월 13일,얼마 전까지만 해도 PC에서 네이버머니 인출할 수 있었는데 이젠 중국마냥 앱 강제로 설치해서 인출해야 하네요. 짧은 순간에 2회를 연달아서 인증하는데 2번째는 심지어 나이 드신 분들 인출하기 어렵도록 인증번호를 소리로 전달하는 것에서 악의를 느꼈습니다.,1,2023년
2023년 7월 22일,결제시 인식이 잘 안되네요 10곳 중 2곳정도 결제되는 비율이에요 저만 그런줄 알았는데 다른 사람들도 잘 안되나보네요 너무 불편합니다 저도 결국 실물카드로 결제합니다 빨리 개선좀 해주세요!!!!!,1,2023년
2023년 9월 20일,이거 무슨 연동을 할수가없네요. 인증때문에 잠깐 나갔다 들어오면 홈화면으로 돌아가있으니,1,2023년
2023년 9월 10일,별 1개 주기도 아까운게.. 폰뒤에 스마트톡이나 그런게 있어도.. 카드 단말기가 인식이 되는곳은 여러 매장 써보았지만 편의점 외에 전부 인식을 잘 하지 않더군요.. IC칩 인식 오류 머시기 안내 문구가 카드단말기에서 뜨고. 스마트톡이 안붙어있어도 NFc가 꺼진 상태여도 삼성페이 지원폰인데도 제대로 작동이 잘안되더군요.. 이럴빠엔 차라리 카카오페이르 쓰지...,1,2023년
2023년 4월 10일,"카드 순서 변경이 안 되니 너무 불편하네요. 천천히 결제해도 되는 온라인 결제면 모를까, 빠르게 결제해야 하는 오프라인 상황에서 좀더 자주쓰는 카드들을 모아두는 것과 같이 순서 변경이 안 되는건 사용성 측면에서는 꽝이라고 봅니다. 타 간편결제들은 순서 변경 기능을 다 제공하고 있고, 심지어 자기네 네이버페이의 멤버십마저도 순서 변경이 가능할 정도로 복잡한 기능도 아니고요..",1,2023년
2023년 9월 19일,"해외판 갤럭시,아이폰 QR코드 결제 막으면 어찌 사용하나요? 제로페이 안돼게 막고 뭐죠? 네이버 QR코드를 매장별로 제공 하던지요? 하지를 않을거면 정확하게 공지를 하던지요? 삼성페이 결합 무슨 의미가 있나요 가족명의 사용말고 ? 네이버페이 가맹점이 있긴 하나요 본적이 없음?",1,2023년
2023년 7월 2일,결제 직전에 카드를 바꿨는데 이전 카드로 결제가 됐어요. 이거 심각한 오류 아닙니까? 금액이 크지 않았으니 다행이지 골치 아플 뻔 했어요. 착각했나 싶어 앱 다시 실행해 봐도 마지막 선택한 카드가 뜹니다.,2,2023년
2023년 9월 18일,플립5 사용중인데 업데이트 후에 접은상태에서 결제가 안되서 너무 불편합니다.,1,2023년
2023년 9월 3일,애플페이는 여러 기기에서 사용 가능한데 왜 네이버페이는 한 기기에서만 사용 할 수 있나요? 법이 다르게 적용되나요?,1,2023년
2023년 9월 24일,어제 갤럭시 워치6 클래식 샀는데 워치에서 앱이 왜 검색도 안 되고 갤럭시 웨어레이블에서도 다운이 안되는거죠?,3,2023년
2023년 8월 20일,네이버페이로 삼카 연동해서 쓰고 있는데 첨엔 잘되더니 카드유효기간 한참 남았는데 지났다고 뜹니다 한두번도 아니고 카드 제등록해도 같은현상이에요,1,2023년
2023년 9월 18일,현장결제를 해도 포인트 뽑기가 안돼요 같은 방식으로 결제를 했는데도 지금 한 10번 중 두번밖에 포인트 뽑기가 안 나왔어요,2,2023년
2023년 7월 24일,와 속도진짜.. 빠르고 편하게 쓰는게 사용목적인데 결제때마다 민망하다 민망해. 사용자가 많으면 서버를 늘리던가,2,2023년
2021년 9월 2일,기다렸는데 좋네요. 그런데 위젯 사이즈 작게 만드셔야겠네요. 아니면 사이즈조절 가능케 하시는 방법이 더 좋고요. 등록된거 다 너무크고 바탕화면에 다른것과 공존시키기 힘드네요 공존해야지 편의성 있게 위젯 쓰고 네이버페이 더 많이(특히 오프라인) 쓸거 같은데요.. 위젯 없으면 저절로 사용횟수 줄어들고 타사거만 쓰는걸 유지 할거 같네요. 네이버페이 때문에 바탕페이지 하나 더 늘리는 희생까진 못하겠어요. 관리가 귀찮아지거든요. 편의성이 더 중요하다고 보여요. 위젯도 그렇고 ui도 점진적으로 약간만 더 미니멀하게 다듬으시길 바래봅니다.(위젯은 빨리요..) 기업 규모상 별점은 일단 엄격하게 드립니다..,3,2021년
2023년 8월 12일,"카드신청하는도중 신분증 찍으라고해놓고는,누르면 결제화면으로 넘어가버리는게 아주 ㅉㅉ",1,2023년
2023년 9월 18일,잘쓰고 있습니다만 플립5 커버화면에서도 전처럼 사용하게 해주십시오 앱 업데이트 하면서 왜 불편하게 된건지...,5,2023년
2023년 8월 28일,네이버삼성페이 결제시 화면에 뜬 결제카드가 아닌 등록된카드중 다른카드가 결제되고 카드취소하려해도 결제카드아니라고 취소도 못함..방금결제했는데 왜 결제카드아니라고 그러는지..,1,2023년
2023년 8월 11일,최근 며칠사이에 삼성페이 인식이 잘 안돼요. 카드 인식 오류라고 나와요. 굿락을 업데이트한 이후로 그런것 같은데 정확한 이유는 잘 모르겠네요.. 기종은 s22+입니다.,5,2023년
2023년 10월 3일,"분명 신용카드로 결제를 했는데 네이버 페이 포인트 , 통장에서 빠져나가는일이 최근 두번이나 발생했내요 처음에는 실수했나 했는데 오늘 저녁은 분명 신용카드로 QR결제 했는데 네이버 통장이 차감 뭐가 어떻게 된건지 점검바람니다",1,2023년
2023년 4월 3일,"안드로이드 사용자인데 며칠전부터 네이버페이앱 오류로 앱에 들어가지지 않고 있습니다. 앱 리뷰에 최근에 다른 분들도 이러한 문제가 발생하고 있는것으로 보아 앱자체에 문제가 있는것같습니다. 네이버에서는 현장결제가 되는데 페이앱으로 결제가 안되고 있어요. 휴대폰 재부팅, 앱 삭제후 재설치로도 해결이 안됩니다. 빠른 시일내에 복구 부탁드립니다. 자주 사용하는데 너무 불편해요..메일로 문의 드렸습니다.",3,2023년
2023년 9월 27일,결재할때마다 렉걸리고 인식도 잘안되는 오류 투성이.,1,2023년
2023년 6월 23일,너무 만족하고 사용하고 있습니다 근데 한가지가 추가 되었으면 좋겠습니다 네이버페이 앱에서 네이버 쇼핑 장바구니 목록이 찾기 쉽게 있었으면 좋겠어요!,5,2023년
2023년 5월 15일,"사용하기 간편함, 가끔씩 포인트뽑기할때 터치할때 반응이 살짝 반박자씩 느릴때가 있습니다.",5,2023년
2023년 6월 6일,일반 삼성페이 사용시 바로 결재가 가능한데 네이버페이 사용시 계속 단말기에 여기저기 움직이고 시간을 많이 잡아 먹네요. 한번에 결재가 되는 경우는 정말 운 좋은 날이나 되고요,3,2023년
2023년 10월 6일,갑자기 렉이 너무 걸립니다. 충전도 못하고 포인트 뽑기도 못해여 ㅠㅠ,3,2023년
2023년 8월 21일,삼성카드만 2종류를 가지고 있는데 2장 모두 네이버페이 앱에 등록이 안되네요.. 원래 갖고 있던 카드가 안돼서 추가 발급까지 했는데 새로 받은 카드도 등록불가 카드라고하네요.. ㅠㅠ 네페의 문제인건지 삼카의 문제인건지 모르겠지만 등록불가 카드가 따로 정해져 있으면 미리 안내를 하고 못 볼 수 없게 팝업으로 좀 띄워주세요.,1,2023년
2023년 10월 18일,갤럭시 앱 안에 삼성페이를 이용하면 그립톡이 있어도 결제가 잘되는데 네이버페이 안에 삼성페이는 인식이 안 되네요.,2,2023년
2023년 10월 7일,신분증 검증오류계속 떠서 인증이 안되고 송금을 못하고 있습니다. 고쳐주세요,1,2023년
2023년 10월 10일,결제 편하게 잘할수있어 편리 합니다,5,2023년
