날짜,리뷰,별점,month
2023년 10월 11일,친구와 토스켜고 포인트받기 개선요청 1. 주변 토스 사용자가 친구 요청시 상대측 아이콘(내 단말에 보여지는)에 말풍선으로 친구요청 표시. 서로 터치후 친구가 된 경우라면 7p추가 지급. 2. 50회 안에 친구만 별도로 20회 카운트하여 10p지급.(누가 10원하고 3원하고 고르라고 하면 누구나 10원을 선택할건데 3원은 내눈앞에 바로 보이고 10원은 언제줄지 모름. 3원 대신 10원을 받으려고 한시간 두시간... 기다리기 지쳐서 3원이라도 받음. 그런데 3원 받자마자 어디선가 10짜리가 짠하고 나타나더니 메롱하면서 1원을 퉤 뱉고 도망감. 당신같으면 열이 받겠소? 안받겠소?) 3. 주변 토스앱을 켜지 않아서 흐릿하게 보여지는 경우 아얘 안보이게 하거나 친구로 등록된 사용자만 보이도록 요청. 4. 팝업스토어와 보너스 친구 아이콘은 화면 상단 위로 위치 변경. 그 자리에 주변 사용자가 더 많이 표시되도록. 그리고 주변 사용자 아이콘도 크기를 줄여서 7~8명정도 이상 보여지도록.,1,2023년
2023년 10월 27일,"확실히 토스 방문 미션이 없어지다보니 사람들이 토스어플을 잘사용을 안하는거 같다 그 사실을 알려주는것이 토스 함께 키고 포인트 받기 이다 . 토스 함께 키는 사람들이 없다보니 여기서 포인트 적립이 어렵다 . 토스 만보기를 다시 실행해서 토스를 잘 이용하는 사람이 많아 활성화되면,좋겠고 토스 만보 포인트가 너무,적다 .. 라이브도 어이가 없는게 3포인트 적립 예정 아이콘이 뜨더니 그거대로 시간잡고 8초만에 포인트 적립이 종료되어 못받게 하고 보너스를 주지만 1원을 주니 주는것만도 못하다 .. 토스 어플관계자들이 사용자에게 포인트를 안주려는게 많이 보인다.. 포인트 만보는 다른 어플처럼 최소 100원 이어야 하는데 말이다.. 토스가 언제부터 이렇게 구두쇠모드로 온건지 알수가 없다 불편하다 이제 삭제합니다",1,2023년
2023년 10월 24일,청소요정 뭡니까. 지 멋대로 계좌 정리해버렸는데. 이런 기능은 갑자기 실행시킬 게 아니라 따로 항목을 만들어서 정리할 수 있게 하든 되돌리는 버튼을 잘 보이는 곳에 배치하든 해야 하지 않을까요. 어떻게 되돌리는지 모르겠는데 좀 되돌리게 해주세요. 하나하나 다시 표시하기 귀찮습니다. 이거 리뷰 할 시간에 드가서 직접 하는 게 맞을 수도 있지만 이 기능이 존재하는 한 또 벌어질 것 같으니 기존에 짜놓은 거 무너뜨리고서 다시 제가 처음부터 하게 하지 마시고 한 번에 되돌려주세요. 부탁입니다. 편의를 위해 추가한 기능같은데 오히려 불편함이 가중되니 여러모로 개선이 필요해 보입니다.,1,2023년
2023년 10월 15일,다른 혜택은 잘 사용하고 있지만 요즘들어 토스 교통카드가 이상합니다. 갑자기 생기지도 않던 대기가 생기고 250명이라는 대기 인원이 지나가고 제 차례가 와도 오류라면서 충전도 안되고 점검도 너무 장기간해서 이럴빠엔 그냥 티머니 교통카드나 정기권을 사는게 낫겠네요. 토스는 이런현상좀 빠르게 고쳐주세요.,3,2023년
2023년 10월 13일,안녕하세요 어제 게임을 다운 받았는데 생각보다 너무 괜찮고 좋았어요 근데 조금 부족한 부분을 구지 골르자면 제가 아이돌을 잘 모르고 유튜버에 좋아하는 분이 계시는데 보니까 다 아이돌이나 2D 또 스포츠 이 3개 밖에 덕질을 못한다는게 너무 아쉽더라구요.. 그래도 첨 써봐서 그런지 돈 모은거 보는것도 조금 뿌듯하고 꽤 괜찮았어요! 그래도 나중에라도 유튜버 중에서 선택지를 줬으면 하는 마음으로 5점 주고 갑니다,5,2023년
2023년 10월 23일,"이번 만보기 업데이트가 너무 아쉽네요. 도시 외각 지역 사람들을 배려해서 이번 업데이트를 했다는데, 왜 방문 미션 장소를 늘리지 않고 없앴는지는 이해가 안되네요.덕분에 걸으면서 얻는 소소한 재미가 사라졌네요. 그리고 지도기능은 없어지고 받을 수 있는 금액이 줄어들고 랜덤으로 바뀌고 아이템은 얻기도 힘든데 효과도 그닥이라 오히려 손해보는 느낌이라 이번 업데이트 가 사전 공지가 있었지만 사실상 대부분 안보기 때문에 몰랐어서 이번 업데이트를 아쉬워하는 지인이 꽤나 많더라고요. 전 기능을 오랫동안 썼다보니 적응이 안돼서 더 불편해 진거 같네요.",2,2023년
2023년 10월 25일,"토스만보기 바뀌더니 만보 걸어니 포인트 기존 140원에서41원..망함. 말 많으니 2만보에서 만보로 줄였지만 받는 포인트는 50원 수준. 이게 무슨 개선이야...포인트 삭감이지. 토스 친구도 포인트 줄이고, 갈수록 섭섭. 아이템이면 억수로 좋아야 하는데 차리리 포인트가 더 나음. 아이템 싫다. 포인트로 줘 !!! 산삼20개 모아야 하루 거리30%증가. 포인트로 받으면 200원은 나올건데..산삼20개면 10~20원 추가. 토스포인트로 소수점 주식 살 수 있으면 좋겠다. 모니모나 신한알파는 그렇게 하는것 같던데, 최선두주자 토스가 안하니 답답.",1,2023년
2023년 10월 26일,토스 증권 변경후 불편합니다. 새롭게 바뀐 표로 자세히 보기 누르면 핸폰화면안에 현재가 다음으로 등락금액까지만 보여 불편합니다. 등락률이 먼저보이지 않아 화면을 옆으로 옮기면 화면 왼쪽에 주식이름이 아닌 로고가 보여 너무 불편합니다.그전까진 잘 이용했는데 ....,1,2023년
2023년 10월 23일,"토스가 여러가지 혜택도 주고 결국은 예산 소진 되서 이렇게 바뀐거 같은데, 저 같은 미성년자는 계좌로 돈을 채우지도 못해서 편의점에서 직접 채워야하는데 수수료 100원.. 차라리 이런 혜택이나 유지해주시지 왠 이상한 것들만 추가되네요 100원도 처음엔 별거 아니더라도 쓰면 쓸수록 큰 돈 될텐데, 괜히 아깝고 그러네요 토스 이용하던 이유가 무엇보다 수수료가 무료라서 더 애용했는데... 계좌에 남은 돈까지만 쓰고 다른 걸로 갈아탈 것 같습니다",2,2023년
2023년 10월 24일,혜택칸 광고가 너무 커서 아래 화면이 잘려 나옵니다 버그인건지 일부러 혜택 줄이려고 이렇게 한 건지 궁금하네요 토스 카톡이나 상담원에 문의하라는데 이미 시도해봤지만 영문을 모르겠다는 ai식 반응뿐입니다 그 어디에도 문제가 나온 사진을 첨부할 수가 없는데 이 부분은 어떻게 해결을 해야 하나요?,1,2023년
2023년 10월 8일,저만 그런진 잘 모르겠지만 다들 비슷비슷하게 문제가 있으신것 같아서 원래 리부 잘 안다는데 올려봅니다. 전엔 잘만 되던 토스가 어제부터 잘 안되네요. 혜택이랑 홈에 들어가면 하얀 화면만 뜨고 전혀 아무것도 뜨질 않습니다. 그리고 토스 지웠다 깔았는데 로딩 하는데도 하얀 화면이 뜨고 아예 안되네요. 진짜 손절 각,1,2023년
2023년 8월 16일,"이보세요 고객센터 몇번이나 건의하고 글남겼는데 전달하겠단 말뿐... 아직도 고쳐지지도 않고... 1.메인화면에서 잘못해서 인지하지못하고, 뒤로가기 버튼을 누르면 토스앱이 바로 종료되는데요... 잘못눌러도 팜업창으로 정말 종료하시겠습니까? 예, 아니오로 선택해서 종료될수 있게 해주셨으면해요... 화면 인지못하고 잘못눌러 바로 나가버리니 다시 앱켜서 비번 다시쳐야하고 앱이 너무 불편하네요... 2. 토스 알림이 많이 오는데 알림 검색기능이 없어서 알림 하나하나 찾기가 불편하네요...알림을 검색해서 찾을수 있게 알림 검색기능이 추가되었으면 해요",4,2023년
2023년 10월 3일,"일단 토스는 너무나도 좋은 앱 입니다만.. 14세미만 사용자는 일부 서비스를 이용하지 못합니다 계좌연결,만보기 등등... 그리고 추가되면 좋을거 갔은 기능은 PAY같이 카드를 등록하여 핸드폰으로 바코드 인식없이 단말기에 (카드넣는곳)대면 자동으로 결제되는 시스템을 추가해주시면 좋겠습니다 (삼성PAY처럼요) 긴글 읽어 주셔서 감사합니다",5,2023년
2023년 9월 6일,23년 9월부터 휴대폰에 발열 및 렉 발생이 심해짐. 재부팅 헌상도 발생. 발열과 배터리 소모 심해짐.서비스센터 가니 보드 고장 진단 받음. 오늘 디바이스케어에서 비정상적인 오류를 보내는 토스 앱울 초절전상태로 바꾸라는 알림이 옴. 혹시나 해서 바꿨음. 상황이 많이 개선됨. 발열은 없어지고 렉도 많이 줄어듬 하지만 보드에 물리적 손상으로 인해서 간혈적으로 끊김 같은 렉 현상은 상처로 남았고 보드 교체나 새폰으로 교체 밖에 답이 없는 상태. 원인은 토스앱으로 강한 합리적 의심이감. 토스앱을 초절전 상태로 해놓으니 재부팅 렉이 줄고 발열 없어짐. 히지만 그때동안 휴대폰 메인보드에 입힌 타격으로 휴대폰은 예전 같은 성능이 나오질 않음. 체감상 반토막 성능이 되버림. 발열이 생길거 같은 어플은 킬 생각도 못함. 보드 교체비 41만원인데 ...내폰에서는 토스 사용도 못하고 있음. 토스가 열리지않음. 그외 어플은 잘열림. 무슨 어플을 무겁게 만들어어서 메인보드를 태울 정도임?,5,2023년
2023년 9월 5일,"그.. 버벅이고 함께 토스 키고 포인트 받기 중 오류에 여러 오류들 많은 것도 그렇고, 그 라이브쇼핑 포인트 지급 방식 롤백 하면 안 되나요? 알림 떠서 들어가면 3원 포인트 받기 끝났다고 하는데, 이것 때문에 방송 1분전부터 대기 타고는 있는데 이것 때문에 대기 타고 있기는 좀 그런 것 같고.. 또 대기 타고 있었는데 방송이 여러개면 어떤건 받을 수 있고 또 어떤건 못 받는 경우도 있습니다. 다른 몇몇분들도 이 방식에 불만이 있으신 것 같은데 롤백 가능한가요?",3,2023년
2023년 8월 3일,"도대체 라이브방송 알람은 왜 맨날 10분 15분씩 늦게 오는거죠? 가뜩이나 이번에 시간대 별로 알림 묶어서 푸시하도록 바뀌었는데, 알림이 늦게 오니까 들어가고 나면 이미 3원받기는 다 끝나있잖아요. 이럴거면 알림받기를 뭐하러하나요? 그리고 방송시간대 별로 알림을 묶을거면 알림켜기도 시간대 별로 한번에 누를 수 있으면 좋을 거 같습니다. 9시에 방송 10개 하면 알림켜기는 10개를 일일이 다 누르고앉았고, 알림은 한번만 오고.. 그마저도 늦게오고.. 개선해주세요.",1,2023년
2023년 8월 24일,"토스 잘 쓰고 있습니다. 다만 토스 기능 건의사항이 있는데요. 저는 토스의 소비 카테고리 항목을 열심히 관리해서 소비를 조절하곤 합니다. 하지만 따로 더치페이를 한 상태에서 온전히 제가 낸 금액으로 소비액을 편집하고 싶은데, 그러한 기능이 없어서 아쉽습니다. 기존에 '더치페이하기 버튼'이 있긴하지만 사실 이 기능을 통해 더치페이를 한 적은 없고 대부분은 그냥 계좌번호를 통해 알아서 계좌이체를 하는 식이었습니다. 소비금액을 사용자가 별도로 편집할 수 있는 기능이 있으면 좋겠습니다. 직접 금액을 수정하거나, 인원수를 적으면 알아서 1/n 이 되는 기능도 있으면 좋겠습니다.",5,2023년
2023년 9월 22일,"업테이트도 잘 되지 않고, 기본적인 포인트 누적도 잘 작동하지 않고 있어요. 이체시 채우기할 때도 엉터리 금액이 표시되고 있다. 담당자는 무엇하고 있는지 알고 싶다. 더구나 책임자는 모든 기능을 체크할 의무가 있지 않을까요. 정말 실망스럽다. 속히 모든 기능을 점검하여 재기능이 되도록 해주세요!!",1,2023년
2023년 10월 28일,"어제부터 포인트 적립(만보기,행운복권 등등) 관련한 것들 전부 작동이 안돼요 아예 안 들어가져요 혹시 몰라서 앱 삭제 후 다시 재설치를 했는데도 똑같네요.. ->해결되었어요! 감사합니다",4,2023년
2023년 10월 21일,만보기?왜 위치사용해야하는지? 이해안됨 일일히 끕니다 만보기 적립받은뒤에는여 이전버전엔! 걸음수 적립에는 위치 필요없던데 좀 불편해졋어요 차다리 위치사용없이 광고보고 적립은 어떨지 생각좀 해주세요 위치 오래킴 배터리 빨리답니다 안그래도 앱이 많이무거워진거같던데 사실인거 같네요 들어오자마자 상단 광고뜨 면서 속도가 더디는거확인 노력좀 해보소,3,2023년
2023년 10월 12일,"이것 저것 하나 둘 씩 너프 하더니 이젠 하다 하다 만보기 기능, 포인트 마저 너프 되었네, 기존 만보기의 네비 맵 관련한 api 라이센스 부담되고 하루 140포인트 주는 것도 부담스러워 네비 맵기능 삭제하고 포인트 헤택도 대폭 축소한다고 솔직하게 말하지.. 이걸 개선이라고 얘기하냐..ㅎㅎㅎ 웃기지도 않군요. 너프된 토스 만보기로 1만걸음 걸으니 포인트 10,10,10,9로 총39포인트 받음, 경우에 따라서 만보 당 1,1,1,1로 4포인트 받을지도..",1,2023년
2023년 9월 7일,항상 잘 사용하고 있습니다. 제가 얼마전부터 위젯을 사용했는데 잔액확인을 들어가면 아무것도 눌리지 않고 뒤로가기 누르면 흰색페이지만 뜨는 오류가 있더라구요. 위젯 삭제하고 다시 해봐도 똑같습니다. 그러고 한번 더 들어가면 지문인식하고 정상작동을 하는데 오류고쳐주시면 좋겠습니당!,5,2023년
2023년 9월 17일,"솔직히 제가 불편함을 느낀곤 딱히 없었습니다. 근데 왜 별이 4개냐면 제가 중2가 돼면서 다양한 기능들이 열리고 간편 결재란 기능도 최근에 알 게되었습니다. 근데 호환 가능 거래처가 편의점에선 cu밖에 안되더군요. 리브넥스트는 간편결재가 여러 곳(세븐일레븐, gs25, 씨유, 이마트24, 롯데마트, 이마트, 제로페이가맹점)들이 가능한데 비해 편의점에서는 씨유밖에 호환이 안되는 토스를 보고 살짝 불편하다는 느낌이 들었습니다. 그리고 삼성패이나 애플패이처럼 폰을 올리는것 만으로는 아마 안될거 같긴한데 그점도 불편했습니다. 근데 솔직히 nfc결재까지는 바라지않고 편의점중 세븐과 gs는 가능 했으면 좋겠다는 바람이네요.",4,2023년
2023년 9월 24일,"편리하고 이것저것 좋은 기능들 덕에 토스 잘 쓰고 있어요! 근데 포인트 출금하려고 토스뱅크를 클릭해서 계좌번호를 입력했더니 가상계좌로는 본인 계좌가 맞는지 확인 할 수 없다는 문자가 반복해서 뜨는데, 어떻게 해결하는지 몰라 계속 안절부절 중이네요. 클릭란에 토스뱅크가 있고 본인 계좌가 확실한데 왜 안돼는 건지 모르겠어서..ㅋ큐ㅠㅜㅠㅠ",4,2023년
2023년 9월 21일,토스에서 여러가지 혜택을 주어 잘 이용하고 있습니다. 한가지 아쉬운 점이 있어 건의 드립니다. 토스 혜택 중에 라이브쇼핑을 보면 상금이 지급되는데 상금 지급시간이 짧아 조금만 늦게 들어가도 바로 상금지급이 중단됩니다. 라이브쇼핑 알람기능을 설정하면 알람을 보내주는데 정시에 오는 것이 아니라 정시에서 1분이나 2분 후에 알람이 옵니다. 알람을 받고 라이브 쇼핑에 들어가면 이미 상금지급이 종료되는 경우가 많습니다. 많은 분들이 참여하여 준비된 상금이 금방 소진되는 것은 이해하는데 이미 상황이 끝난 후에 알람을 받는 것은 문제가 있어 보입니다. 알람을 1분 전이나 아니면 최소한 정시에는 보내줘야 알람으로서의 의미가 있는 것 같습니다. 이에 대한 개선을 건의 드립니다.,4,2023년
2023년 8월 7일,프라임 가입자인데요. 프라임 사용자는 개인적으로 광고가 없으면 좋겠는데요. 새로운 기능과 혜택으로 최소한 동영상 광고나 팝업을 설정에서 안볼수있는 기능은 없을까요? 가끔은 도움이 될수도 있겠지만 돈내면서 광고까지 보기에는... 화면이 좀 깔끔했으면 좋겠어요,5,2023년
2023년 10월 2일,앱 잘 쓰고 있는데요. 한두 달 전부터 소비 내역에서 '내가 요청한 더치페이'를 길게 누르고 '내역 숨기기' 해도 숨겨지지가 않아요. 다른 소비 내역은 계속 잘 숨겨지는데요. 고쳐지겠거니 했는데 아직도 안 고쳐졌네요. 아울러 앱 내 고객센터에서 이런 간단한 버그 신고에 대한 접근성이 추가되면 좋겠어요.,5,2023년
2023년 10월 7일,안녕하세요 토스 앱 기능이 많이 추가되어 유용하게 쓰고 있습니다. 앱 평가는 평소 전혀 남기지 않는데 건의드릴 것이 있어 남깁니다 (타사 앱 언급하여 죄송합니다) 신한플레이 앱에서 제공하는 위젯에 마이데이터(오픈뱅킹) 서비스를 이용하면 카드별로 사용 금액이 보이도록 위젯으로 제공하더라고요 토스도 다양한 위젯이 추가되었으면 좋겠습니다 특히 소비 항목! 신한플레이에서 스타벅스를 주겠다며 유혹해도 오픈뱅킹 연결 안 해뒀는데 이것 때문에 하고 싶어요.. 오픈뱅킹은 토스만 해뒀습니다 토스로 보고싶어요 어머니께서 평소 휴대폰을 잘 안 쓰시는데 최근 직장 동료 분들 사이에서 주변에 토스 켠 사람이 유행이라며 당신 휴대폰에서 토스를 쓸 수 있도록 해달라고 하시더라고요. 그런데 최근 기능이 개편되며 주변에 토스 켠 사람 사용하는 사람들이 많이 줄었다고 아쉬워하십니다.. 만보기나 라이브 등 다른 리워드도 열심히 챙기시지만 처음 시작하신 계기가 그것이라 저도 아쉬운 마음입니다 읽어주셔서 감사합니다,5,2023년
2023년 10월 3일,앱 사용이나 다른 서비스? 같은것들은 다 편하고 좋은데 다른 뽑기나 그런 것들은 14세 미만이라는 이유 안되어서 부모님 허락하에 가능하도록 설정이 되었으면 좋겠습니다. 그리고 점점 불편해지는 기능들이 몇몇 있습니다. 토스 버스카드 충전이 필요한 만큼 쓰도록 1000원 식으로 되는 것이 아니라 5000원부터 사용이 가능하니 다른곳에 돈을 쓰려고 해도 이 버스카드를 충전하느라 5000원이나 빠져서 쫌 많이 불편합니다. 이런것도 다른 사연이 있을 수도 있지만 그래도 이런 것들이 해결 되었스면 좋겠습니다.,2,2023년
2023년 10월 23일,토스 홈 화면에 증권계좌 숨김했는데 청소요정이랍시고 지 맘대로 인터페이스 바꿔서 증권 잔액 뜨게하네. 제발 같잖은 인터페이스 변경 좀 고객 동의없이 하지 마세요 필요도 없는 편의성 전환은 왜 하는 겁니까? 숨김했는데 숨김이 안되는 아이러니한 업데이트ㅋㅋ 투자 모아보기 탭 좀 홈 화면에서 없애주세요~ 제발~,1,2023년
2023년 9월 5일,이번에 업데이트되고 라이브방송 시청 3원씩주는 시스템 텀이 너무 짧은거같습니다..알림이 정각에 오지않던데..텀 길게 좀 해주세요 (수정)정각이라해도 정각에서 2분지나서 오고 앱접속하면 1분정도 시간이 걸리면 라이브방송 3원 혜택은 끝나버립니다..알림오는게 전부 예정된 시간에서 2분 경과되서 울립니다..라이브도 5분정도로 늘려주시면 감사하겠습니다,3,2023년
2023년 9월 14일,교통카드 점검 하기 전에 미리 공지좀 하면 안돼요? 점검을 하는 줄도 모르고 버스 정류장 가는길에 카드 충전하려는데 점검이라고 못한다고 떠서 당황했어요. 추가적으로 토스 앱으로 인해서 블루투스가 진짜 엄청 끊겨요. 몇시간을 주기로 에어팟 연결이 엄청 끊어지는데 이게 토스 때문이더라구요.. 이 앱 없으면 못하게 되는게 너무 많아서 지우지는 못하겠고.. 신경좀 써주세요,2,2023년
2023년 8월 23일,광고가 있어야 서비스도 유지되는 건 이해합니다. 하지만 1) 업데이트는 자주 뜨는데 이번 업데이트는 무엇을 업데이트하는 것인지 전혀 설명이 없고 매번 같은 설명 재탕인데 왜 설명없이 업데이트만 주구장창하시는지 이해가 안 되고 설명을 좀 해주셨으면 좋겠습니다. 2) 빠진 고정지출 추가를 하고 싶은데 보험사에서 여러 상품이 빠져나갈 경우 하나만 보여지고 3) 추가를 눌러서 최근 내역에서 찾기에 들어가면 전월 내역은 보이지 않고 이번달 내역만 있어서 매우 불편합니다,3,2023년
2023년 9월 12일,"감사히 잘 사용하고 있는 앱 중 하나입니다. 다만 근래 업뎃은 왜 이러지, 란 생각이 마구 들게 해서..;; 토스앱이 좋은 이유 중 가장 큰 게 시간을 아껴준다인데 비번 저장 사용을 강요를 해서 어제는 지울까 고민도 했네요. 한번 안 한다했음 그만이지 켤 때마다 저장하라고 하니 이건 뭐 스트레스받고 시간 낭비하고..;;",2,2023년
2023년 8월 12일,"토스 알림이 이틀마다 안옴 먹통됨. 앱설정에서 알림을 수동으로 껏다가 켜줘야 해결됨. 그리고 이틀정도후 또안옴 , 갤럭시 23울트라 최신폰 사용중임. 알림이주기적으로 먹히는데 정말 해결못합니까 ?? 아이폰에선 이런일 없었음. 매번 문의하라는데 본사문의해도 해결안됨 . 진짜 어이없네",1,2023년
2023년 9월 22일,"토스 주식 탭에서 자세한 차트를 보려면 앱 업데이트 하라고 나옵니다. 하지만 현재 앱은 최신버전이고 업데이트 되지 않습니다. 캐시데이터 날려도 보고, 앱 콜드 스타트도 해보았으나 되지 않네요. 빠른 정정 업데이트 부탁드립니다. 현재 사용버전 : 5.129.0 Galaxy zflip4",4,2023년
